Day,MVP_Volatility,N_Assets
1,0.004116452716036518,30
2,0.00407989446599572,30
3,0.004054405515408628,30
4,0.00404763196806934,30
5,0.004002030481141335,30
6,0.004048988367885026,30
7,0.0040110610449213165,30
8,0.00399401443189771,30
9,0.003958716395325361,30
10,0.0039328050323113595,30
11,0.0039243259020566995,30
12,0.0038993303852405746,30
13,0.0038942020720560237,30
14,0.003907759345587847,30
15,0.003937456620638468,30
16,0.003918094734815047,30
17,0.003986547486350857,30
18,0.003966219436394747,30
19,0.003998753577729547,30
20,0.0040183041151884945,30
21,0.003981276438401219,30
22,0.0039554853722255584,30
23,0.003936508216249407,30
24,0.003906942237949235,30
25,0.004101331149327586,30
26,0.004238186561728886,30
27,0.004132516953921905,30
28,0.0041716426525929325,30
29,0.004092155550907019,30
30,0.004251082661206429,30
31,0.004246102784403714,30
32,0.00421560364598617,30
33,0.004246192157435492,30
34,0.004268937617931286,30
35,0.0043165682850826005,30
36,0.004256184375007207,30
37,0.0042670652397816845,30
38,0.004214798686919759,30
39,0.00416076228897512,30
40,0.004118225345402402,30
41,0.004129860400376318,30
42,0.004200915204068806,30
43,0.00431875037691309,30
44,0.004341264448972363,30
45,0.004273000049064821,30
46,0.004224659936082018,30
47,0.004155373866957749,30
48,0.004039421593327985,30
49,0.004026053254294449,30
50,0.004087943194343583,30
51,0.00423183921738069,30
52,0.004261900486141487,30
53,0.004210506876093131,30
54,0.004184356362528341,30
55,0.004213424878453346,30
56,0.004159107213740047,30
57,0.004250939331150351,30
58,0.004349783538264867,30
59,0.004549839303073185,30
60,0.00452975972302719,30
61,0.005055282699244217,30
62,0.005592720861525774,30
63,0.00641732889370071,30
64,0.0063749109463120705,30
65,0.006426790706336367,30
66,0.006366506172056195,30
67,0.006332128508506614,30
68,0.006232391173024545,30
69,0.006089958573817302,30
70,0.006302470527977689,30
71,0.006126601694358389,30
72,0.006050841754990133,30
73,0.005883504416721243,30
74,0.00569001287027421,30
75,0.005888689790853144,30
76,0.005792215550103553,30
77,0.0058707926529675426,30
78,0.005963097709716726,30
79,0.005987375163595234,30
80,0.005880582466310144,30
81,0.005801053763168458,30
82,0.005715700322865631,30
83,0.005561181813597481,30
84,0.005398173597158488,30
85,0.005471518830060042,30
86,0.005222912019002381,30
87,0.005174476669858636,30
88,0.005024983281959393,30
89,0.00489999644347709,30
90,0.005189263682718789,30
91,0.005042368371851684,30
92,0.004949639986661982,30
93,0.005180811476911797,30
94,0.005687353736035674,30
95,0.0055313096148015386,30
96,0.005493490110907549,30
97,0.005560996525429779,30
98,0.005460055746833191,30
99,0.005537089401164906,30
100,0.005512288128316644,30
101,0.005559805628152556,30
102,0.005497964714859462,30
103,0.005401579436575131,30
104,0.00538169239313648,30
105,0.005254452028908975,30
106,0.005209382499914149,30
107,0.005089119460621406,30
108,0.005006912644244543,30
109,0.0049331608509302705,30
110,0.005000605076374052,30
111,0.005029871277972944,30
112,0.004902497144951206,30
113,0.00479191553649163,30
114,0.004762574171237945,30
115,0.004686588266670475,30
116,0.004675818012744091,30
117,0.004736279252925303,30
118,0.004703935375495075,30
119,0.004727301703588864,30
120,0.004668400279954232,30
121,0.004745641590687044,30
122,0.004640305766453835,30
123,0.004589599737436239,30
124,0.0046180407369505305,30
125,0.004591026650229042,30
126,0.0044824643059460855,30
127,0.004582796125359119,30
128,0.00448014486847161,30
129,0.004422206268420914,30
130,0.0044332928403538335,30
131,0.004284482090859824,30
132,0.004359485920428377,30
133,0.0045873631389865745,30
134,0.004602385978529929,30
135,0.004621842353256719,30
136,0.0047033465614964454,30
137,0.004587598868823375,30
138,0.004534498275537148,30
139,0.004503938490928806,30
140,0.0044683101452415675,30
141,0.004373113815262023,30
142,0.004291058027164615,30
143,0.004284918406242485,30
144,0.004319685032538578,30
145,0.004334207234656244,30
146,0.0043790716080051315,30
147,0.004632209541888889,30
148,0.004541164888365767,30
149,0.004589393136354819,30
150,0.004522271528265269,30
151,0.004441387230113871,30
152,0.0044630276696488915,30
153,0.004403660444563142,30
154,0.004573304727417665,30
155,0.004769260760057999,30
156,0.004794913537817143,30
157,0.004701035679741971,30
158,0.004612979465428037,30
159,0.004593840828043197,30
160,0.004511548453358816,30
161,0.004416966538571879,30
162,0.004376351818236451,30
163,0.0043527217233388996,30
164,0.004319353743278329,30
165,0.004306704855927433,30
166,0.004375769156064399,30
167,0.004362025528400448,30
168,0.004258118694777166,30
169,0.004105728400856421,30
170,0.004369915682808187,30
171,0.004501344362027337,30
172,0.0045595332008818235,30
173,0.004776818679292757,30
174,0.004731491228021504,30
175,0.004610071653998148,30
176,0.004524070338766741,30
177,0.004445346757068198,30
178,0.0044040158477707415,30
179,0.0044266095330520935,30
180,0.004464670339481611,30
181,0.0043958447397576626,30
182,0.004361048378802899,30
183,0.004332906605120397,30
184,0.004276133101649971,30
185,0.004306150900490431,30
186,0.004365432746320466,30
187,0.004336484531304082,30
188,0.004372275207791709,30
189,0.0042997148083571985,30
190,0.004231220983214521,30
191,0.004239221901377206,30
192,0.004287363751899102,30
193,0.004243006725155468,30
194,0.0042982263224565775,30
195,0.004376071457845547,30
196,0.004496285015209562,30
197,0.004415966897876677,30
198,0.00437848496027413,30
199,0.004304281547321355,30
200,0.004268622907311921,30
201,0.004214082206384293,30
202,0.004192403331939056,30
203,0.0042152897160198655,30
204,0.004390595434934088,30
205,0.004341861798299869,30
206,0.004246802902982647,30
207,0.004745720537113142,30
208,0.006190481226174199,30
209,0.00606414923200063,30
210,0.006039217323720177,30
211,0.005802949189670066,30
212,0.005785809989749628,30
213,0.00574668809117469,30
214,0.005828258377162337,30
215,0.005826831830663817,30
